Title,Price_AED,Location,Type,Bedrooms,Bathrooms,Area_SqFt
Modern Elegant | Marina View | Move in Ready,58000,"Bloom Towers B, Bloom Towers, District 10, Jumeirah Village Circle, Dubai",Apartment,studio,1,393
View Today | Elevated Golf View | Custom Villa,800000,"Whispering Pines, Jumeirah Golf Estates, Dubai",Villa,4,6,5250
Corner Unit | Fully Furnished | High Floor,200000,"Downtown Views II Tower 2, Downtown Views II, Zabeel 2, Zabeel, Dubai",Apartment,2,3,1204
Lavish | Upgraded and Furnished | Canal View,285000,"Canal Front Residence 8, Canal Front Residences, Al Wasl, Dubai",Apartment,1,1,1009
Brand New | Close to Pool | Ready to Move-in,290000,"June, Arabian Ranches 3, Dubai",Villa,4,5,3252
On Pool and Park | B2B |  Brand New | View Now,160000,"La Violeta 2, La Violeta, Villanova, Dubai Land, Dubai",Townhouse,3,4,1760
Elegant 3BR | Furnished | Burj and Zabeel Views,350000,"Burj Daman, DIFC, Dubai",Apartment,3,3,2053
Book For Viewing | Multiple Cheques | Vacant,205000,"Santorini, Damac Lagoons, Dubai",Townhouse,4,3,1550
Top Location | Close to Beach and Pool | Huge Plot,192000,"Talia, The Valley, Dubai",Villa,4,4,2187
Stylish 1BR | Near to Circle Mall | Ready to Move,65000,"Diamond Views 4, Diamond Views, Jumeirah Village Circle, Dubai",Apartment,1,1,675
2 BR Oasis in Paradise Lakes Towers: Serene Living,37000,"Paradise Lakes Towers, Emirates City, Ajman",Apartment,2,2,1260
Modern 2br Apartment With Peaceful Park View,265000,"Central Park Building 1, Central Park at City Walk, City Walk, Dubai",Apartment,2,2,1475
3 BR Family-Friendly Haven in Emirates City,55000,"Garden Residences, Emirates City, Ajman",Apartment,3,3,1800
HOT DEAL|RAS AL KHAIMAH |2 MIN FROM BEACH AND SEA,32000,"Marina Apartments F, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah",Apartment,studio,1,550
5BR Duplex Penthouse | Bespoke Upgrades,2100000,"Index Tower, DIFC, Dubai",Penthouse,5,5,7401
Spacious 2BR | DIFC and Sea Views | High Floor,310000,"Index Tower, DIFC, Dubai",Apartment,2,3,2440
Fully Upgraded 3BR with DIFC and Sea Views,500000,"Index Tower, DIFC, Dubai",Apartment,3,4,3128
Spacious 2BR Apartment with Burj District Views,265000,"Index Tower, DIFC, Dubai",Apartment,2,3,1820
Refined 2BR High-Floor Duplex with Zabeel Views,235000,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai",Apartment,2,3,1621
Fully Upgraded G+2 | Atlantis Views | Gym and lift,2600000,"Garden Homes Frond D, Garden Homes, Palm Jumeirah, Dubai",Villa,5,7,7000
Available Soon | Great Amenities | Landscaped,450000,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai",Villa,4,4,3237
Burj View | Modern Design | Ready to Move,209999,"Burj Royale, Downtown Dubai, Dubai",Apartment,2,2,1045
Fully Furnished | High Floor | Prime Location,85000,"O2 Tower, District 14, Jumeirah Village Circle, Dubai",Apartment,1,2,973
TYPE 4M | Vacant Now | Well Maintained | Mid Unit,165000,"Al Reem 2, Al Reem, Arabian Ranches, Dubai",Townhouse,2,3,1856
Single Row | Brand New  | Ready To Move In,134999,"Orania, The Valley, Dubai",Townhouse,3,4,1872
Corner Plot | Desirable Location | Negotiable,425000,"Tilal Al Furjan, Al Furjan, Dubai",Villa,4,4,6291
Unfurnished Studio |Fully Fitted Kitchen |Vacant,60000,"AZIZI Riviera 7, AZIZI Riviera, Meydan One, Meydan, Dubai",Apartment,studio,1,379
Landscaped | Near Pool and Park | Area Expert,205000,"Elan, Tilal Al Ghaf, Dubai",Villa,3,4,2139
Spacious Studio Available for Family in Mujjara.,19000,"Al Mujarrah, Al Sharq, Sharjah",Apartment,studio,1,400
Closed Hall 1bhk for Family in Musallah.,20000,"Al Musalla, Sharjah",Apartment,1,1,800
Vacant | Sea and Marina Views | Luxurious,1800000,"Bulgari Resort & Residences 3, Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai",Apartment,3,5,2698
Brand New | Full Appliances | Near Pool and Park,275000,"Aura Gardens, Tilal Al Ghaf, Dubai",Townhouse,4,4,2421
Studio | Exclusive Unit | Peaceful Views | JVC,55499,"Luma 22, District 10, Jumeirah Village Circle, Dubai",Apartment,studio,1,413
Prime Location | Private Elevator | Vacant Now,650000,"Umm Suqeim 3 Villas, Umm Suqeim 3, Umm Suqeim, Dubai",Villa,7,7+,8000
DXB-SHJ BRDR!! DUBAI RTA F22-24 | WARDROBE BALCONY,47999,"Al Nahda Complex, Al Nahda, Sharjah",Apartment,2,2,1350
Dubai Frame and Park View |Corner unit |Exclusive,165000,"1 Residences - 2, 1 Residences, Al Kifaf, Zabeel, Dubai",Apartment,2,3,1539
Fully Furnished | Large Layout | Vacant Now,175000,"The Royal Oceanic, Dubai Marina, Dubai",Apartment,2,3,1203
